date,count,title,type
06/21/2025,2,Dept. Q,tv-shows
06/22/2025,2,Dept. Q,tv-shows
06/21/2025,1,FUBAR,tv-shows
06/22/2025,1,FUBAR,tv-shows
06/21/2025,0,MobLand,tv-shows
06/22/2025,0,MobLand,tv-shows
06/21/2025,0,Murderbot,tv-shows
06/22/2025,0,Murderbot,tv-shows
06/21/2025,9,Poker Face,tv-shows
06/22/2025,6950,Poker Face,tv-shows
06/21/2025,0,Resident Alien,tv-shows
06/22/2025,10,Resident Alien,tv-shows
06/21/2025,6100,Revival,tv-shows
06/22/2025,8090,Revival,tv-shows
06/21/2025,20300,Stick,tv-shows
06/22/2025,22200,Stick,tv-shows
06/21/2025,7180,The Better Sister,tv-shows
06/22/2025,7770,The Better Sister,tv-shows
06/21/2025,10,We Were Liars,tv-shows
06/22/2025,1,We Were Liars,tv-shows
